================================================================================
POKEMON GOLD/SILVER (GENERATION II) REFERENCE DATA
================================================================================
Sources: Bulbapedia (bulbapedia.bulbagarden.net)
Note: All data reflects Generation II (Gold/Silver/Crystal) values.
In Gen 2, move category is determined by TYPE:
  Physical types: Normal, Fighting, Poison, Ground, Flying, Bug, Rock, Ghost, Steel
  Special types:  Fire, Water, Grass, Electric, Ice, Psychic, Dragon, Dark

================================================================================
PART 1: MOVE DATA
================================================================================

Format: # | Name | Type | Category | Power | Accuracy | PP | Priority | Effect
Cyndaquil -> Quilava (Level 14) -> Typhlosion (Level 36)
Totodile -> Croconaw (Level 18) -> Feraligatr (Level 30)

--- KANTO STARTERS ---
Bulbasaur -> Ivysaur (Level 16) -> Venusaur (Level 32)
Charmander -> Charmeleon (Level 16) -> Charizard (Level 36)
Squirtle -> Wartortle (Level 16) -> Blastoise (Level 36)

--- LEVEL-UP EVOLUTIONS ---
Caterpie -> Metapod (Level 7) -> Butterfree (Level 10)
Weedle -> Kakuna (Level 7) -> Beedrill (Level 10)
Pidgey -> Pidgeotto (Level 18) -> Pidgeot (Level 36)
Rattata -> Raticate (Level 20)
Spearow -> Fearow (Level 20)
Ekans -> Arbok (Level 22)
Sandshrew -> Sandslash (Level 22)
Nidoran-F -> Nidorina (Level 16) -> Nidoqueen (Moon Stone)
Nidoran-M -> Nidorino (Level 16) -> Nidoking (Moon Stone)
Zubat -> Golbat (Level 22) -> Crobat (Happiness)
Oddish -> Gloom (Level 21) -> Vileplume (Leaf Stone) OR Bellossom (Sun Stone)
Paras -> Parasect (Level 24)
Venonat -> Venomoth (Level 31)
Diglett -> Dugtrio (Level 26)
Meowth -> Persian (Level 28)
Psyduck -> Golduck (Level 33)
Mankey -> Primeape (Level 28)
Poliwag -> Poliwhirl (Level 25) -> Poliwrath (Water Stone) OR Politoed (Trade w/ King's Rock)
Abra -> Kadabra (Level 16) -> Alakazam (Trade)
Machop -> Machoke (Level 28) -> Machamp (Trade)
Bellsprout -> Weepinbell (Level 21) -> Victreebel (Leaf Stone)
Tentacool -> Tentacruel (Level 30)
Geodude -> Graveler (Level 25) -> Golem (Trade)
Ponyta -> Rapidash (Level 40)
Slowpoke -> Slowbro (Level 37) OR Slowking (Trade w/ King's Rock)
Magnemite -> Magneton (Level 30)
Doduo -> Dodrio (Level 31)
Seel -> Dewgong (Level 34)
Grimer -> Muk (Level 38)
Gastly -> Haunter (Level 25) -> Gengar (Trade)
Drowzee -> Hypno (Level 26)
Krabby -> Kingler (Level 28)
Voltorb -> Electrode (Level 30)
Cubone -> Marowak (Level 28)
Koffing -> Weezing (Level 35)
Rhyhorn -> Rhydon (Level 42)
Horsea -> Seadra (Level 32) -> Kingdra (Trade w/ Dragon Scale)
Goldeen -> Seaking (Level 33)
Magikarp -> Gyarados (Level 20)
Dratini -> Dragonair (Level 30) -> Dragonite (Level 55)
Sentret -> Furret (Level 15)
Hoothoot -> Noctowl (Level 20)
Ledyba -> Ledian (Level 18)
Spinarak -> Ariados (Level 22)
Chinchou -> Lanturn (Level 27)
Natu -> Xatu (Level 25)
Mareep -> Flaaffy (Level 15) -> Ampharos (Level 30)
Marill -> Azumarill (Level 18)
Hoppip -> Skiploom (Level 18) -> Jumpluff (Level 27)
Wooper -> Quagsire (Level 20)
Pineco -> Forretress (Level 31)
Snubbull -> Granbull (Level 23)
Teddiursa -> Ursaring (Level 30)
Slugma -> Magcargo (Level 38)
Swinub -> Piloswine (Level 33)
Remoraid -> Octillery (Level 25)
Houndour -> Houndoom (Level 24)
Phanpy -> Donphan (Level 25)
Larvitar -> Pupitar (Level 30) -> Tyranitar (Level 55)
Omanyte -> Omastar (Level 40)
Kabuto -> Kabutops (Level 40)

--- STONE EVOLUTIONS ---
Pikachu -> Raichu (Thunder Stone)
Nidorina -> Nidoqueen (Moon Stone)
Nidorino -> Nidoking (Moon Stone)
Clefairy -> Clefable (Moon Stone)
Vulpix -> Ninetales (Fire Stone)
Jigglypuff -> Wigglytuff (Moon Stone)
Gloom -> Vileplume (Leaf Stone)
Gloom -> Bellossom (Sun Stone)
Growlithe -> Arcanine (Fire Stone)
Poliwhirl -> Poliwrath (Water Stone)
Weepinbell -> Victreebel (Leaf Stone)
Shellder -> Cloyster (Water Stone)
Exeggcute -> Exeggutor (Leaf Stone)
Staryu -> Starmie (Water Stone)
Eevee -> Vaporeon (Water Stone)
Eevee -> Jolteon (Thunder Stone)
Eevee -> Flareon (Fire Stone)
Sunkern -> Sunflora (Sun Stone)

--- TRADE EVOLUTIONS ---
Kadabra -> Alakazam (Trade)
Machoke -> Machamp (Trade)
Graveler -> Golem (Trade)
Haunter -> Gengar (Trade)
Onix -> Steelix (Trade w/ Metal Coat)
Scyther -> Scizor (Trade w/ Metal Coat)
Poliwhirl -> Politoed (Trade w/ King's Rock)
Slowpoke -> Slowking (Trade w/ King's Rock)
Seadra -> Kingdra (Trade w/ Dragon Scale)
Porygon -> Porygon2 (Trade w/ Up-Grade)

--- HAPPINESS EVOLUTIONS ---
Pichu -> Pikachu (Happiness)
Cleffa -> Clefairy (Happiness)
Igglybuff -> Jigglypuff (Happiness)
Togepi -> Togetic (Happiness)
Golbat -> Crobat (Happiness)
Eevee -> Espeon (Happiness, Daytime)
Eevee -> Umbreon (Happiness, Nighttime)
Chansey -> Blissey (Happiness)

--- SPECIAL EVOLUTIONS ---
Tyrogue -> Hitmonlee (Level 20, when Attack > Defense)
Tyrogue -> Hitmonchan (Level 20, when Attack < Defense)
Tyrogue -> Hitmontop (Level 20, when Attack = Defense)

--- NO EVOLUTION (STANDALONE POKEMON) ---
Farfetch'd, Kangaskhan, Mr. Mime, Pinsir, Tauros, Ditto, Aerodactyl,
Lapras, Snorlax, Articuno, Zapdos, Moltres, Mewtwo, Mew,
Unown, Wobbuffet, Dunsparce, Girafarig, Qwilfish, Shuckle,
Heracross, Corsola, Delibird, Mantine, Skarmory, Stantler,
Smeargle, Miltank, Raikou, Entei, Suicune, Lugia, Ho-Oh, Celebi,
Sudowoodo, Yanma, Aipom, Murkrow, Misdreavus, Gligar, Sneasel,
Lickitung, Tangela, Magby (baby), Smoochum (baby), Elekid (baby)

Note: Magby->Magmar (Level 30), Smoochum->Jynx (Level 30), Elekid->Electabuzz (Level 30)
These are baby Pokemon with level-up evolutions.


================================================================================
PART 3: STARTER LEARNSETS (Level-Up, Generation II)
================================================================================

--- CHIKORITA (Grass) ---
Lv  1 | Tackle
Lv  1 | Growl
Lv  8 | Razor Leaf
Lv 12 | Reflect
Lv 15 | PoisonPowder
Lv 22 | Synthesis
Lv 29 | Body Slam
Lv 36 | Light Screen
Lv 43 | Safeguard
Lv 50 | Solar Beam

--- BAYLEEF (Grass) ---
Lv  1 | Tackle
Lv  1 | Growl
Lv  1 | Razor Leaf
Lv  1 | Reflect
Lv  8 | Razor Leaf
Lv 12 | Reflect
Lv 15 | PoisonPowder
Lv 23 | Synthesis
Lv 31 | Body Slam
Lv 39 | Light Screen
Lv 47 | Safeguard
Lv 55 | Solar Beam

--- MEGANIUM (Grass) ---
Lv  1 | Tackle
Lv  1 | Growl
Lv  1 | Razor Leaf
Lv  1 | Reflect
Lv  8 | Razor Leaf
Lv 12 | Reflect
Lv 15 | PoisonPowder
Lv 23 | Synthesis
Lv 31 | Body Slam
Lv 41 | Light Screen
Lv 51 | Safeguard
Lv 61 | Solar Beam

--- CYNDAQUIL (Fire) ---
Lv  1 | Tackle
Lv  1 | Leer
Lv  6 | SmokeScreen
Lv 12 | Ember
Lv 19 | Quick Attack
Lv 27 | Flame Wheel
Lv 36 | Swift
Lv 46 | Flamethrower

--- QUILAVA (Fire) ---
Lv  1 | Tackle
Lv  1 | Leer
Lv  1 | SmokeScreen
Lv  6 | SmokeScreen
Lv 12 | Ember
Lv 21 | Quick Attack
Lv 31 | Flame Wheel
Lv 42 | Swift
Lv 54 | Flamethrower

--- TYPHLOSION (Fire) ---
Lv  1 | Tackle
Lv  1 | Leer
Lv  1 | SmokeScreen
Lv  1 | Ember
Lv  6 | SmokeScreen
Lv 12 | Ember
Lv 21 | Quick Attack
Lv 31 | Flame Wheel
Lv 45 | Swift
Lv 60 | Flamethrower

--- TOTODILE (Water) ---
Lv  1 | Scratch
Lv  1 | Leer
Lv  7 | Rage
Lv 13 | Water Gun
Lv 20 | Bite
Lv 27 | Scary Face
Lv 35 | Slash
Lv 43 | Screech
Lv 52 | Hydro Pump

--- CROCONAW (Water) ---
Lv  1 | Scratch
Lv  1 | Leer
Lv  1 | Rage
Lv  7 | Rage
Lv 13 | Water Gun
Lv 21 | Bite
Lv 28 | Scary Face
Lv 37 | Slash
Lv 45 | Screech
Lv 55 | Hydro Pump

--- FERALIGATR (Water) ---
Lv  1 | Scratch
Lv  1 | Leer
Lv  1 | Rage
Lv  1 | Water Gun
Lv  7 | Rage
Lv 13 | Water Gun
Lv 21 | Bite
Lv 28 | Scary Face
Lv 38 | Slash
Lv 47 | Screech
Lv 58 | Hydro Pump


================================================================================
PART 4: BASE STATS & POKEMON DATA
================================================================================

Format: #NNN | Name | Type1/Type2 | HP/Atk/Def/SpA/SpD/Spe | BST | CatchRate | BaseEXP | Growth

Note: Stats reflect Gen II values (Sp.Atk/Sp.Def split from Gen 1 Special stat).
BST = Base Stat Total. Growth = growth rate group.

--- JOHTO STARTERS ---
#152 | Chikorita   | Grass       |  45/ 49/ 65/ 49/ 65/ 45 | 318 |  45 |  64 | Medium Slow
#153 | Bayleef     | Grass       |  60/ 62/ 80/ 63/ 80/ 60 | 405 |  45 | 141 | Medium Slow
#154 | Meganium    | Grass       |  80/ 82/100/ 83/100/ 80 | 525 |  45 | 208 | Medium Slow
#155 | Cyndaquil   | Fire        |  39/ 52/ 43/ 60/ 50/ 65 | 309 |  45 |  65 | Medium Slow
#156 | Quilava     | Fire        |  58/ 64/ 58/ 80/ 65/ 80 | 405 |  45 | 142 | Medium Slow
#157 | Typhlosion  | Fire        |  78/ 84/ 78/109/ 85/100 | 534 |  45 | 209 | Medium Slow
#158 | Totodile    | Water       |  50/ 65/ 64/ 44/ 48/ 43 | 314 |  45 |  66 | Medium Slow
#159 | Croconaw    | Water       |  65/ 80/ 80/ 59/ 63/ 58 | 405 |  45 | 143 | Medium Slow
#160 | Feraligatr  | Water       |  85/105/100/ 79/ 83/ 78 | 530 |  45 | 210 | Medium Slow

--- EARLY ROUTE POKEMON ---
#016 | Pidgey      | Normal/Flying  |  40/ 45/ 40/ 35/ 35/ 56 | 251 | 255 |  55 | Medium Slow
#017 | Pidgeotto   | Normal/Flying  |  63/ 60/ 55/ 50/ 50/ 71 | 349 | 120 | 113 | Medium Slow
#018 | Pidgeot     | Normal/Flying  |  83/ 80/ 75/ 70/ 70/ 91 | 469 |  45 | 172 | Medium Slow
#019 | Rattata     | Normal         |  30/ 56/ 35/ 25/ 35/ 72 | 253 | 255 |  57 | Medium Fast
#020 | Raticate    | Normal         |  55/ 81/ 60/ 50/ 70/ 97 | 413 | 127 | 116 | Medium Fast
#021 | Spearow     | Normal/Flying  |  40/ 60/ 30/ 31/ 31/ 70 | 262 | 255 |  58 | Medium Fast
#022 | Fearow      | Normal/Flying  |  65/ 90/ 65/ 61/ 61/100 | 442 |  90 | 162 | Medium Fast
#161 | Sentret     | Normal         |  35/ 46/ 34/ 35/ 45/ 20 | 215 | 255 |  57 | Medium Fast
#162 | Furret      | Normal         |  85/ 76/ 64/ 45/ 55/ 90 | 415 |  90 | 116 | Medium Fast
#163 | Hoothoot    | Normal/Flying  |  60/ 30/ 30/ 36/ 56/ 50 | 262 | 255 |  58 | Medium Fast
#164 | Noctowl     | Normal/Flying  | 100/ 50/ 50/ 76/ 96/ 70 | 442 |  90 | 162 | Medium Fast
#165 | Ledyba      | Bug/Flying     |  40/ 20/ 30/ 40/ 80/ 55 | 265 | 255 |  54 | Fast
#166 | Ledian      | Bug/Flying     |  55/ 35/ 50/ 55/110/ 85 | 390 |  90 | 134 | Fast
#167 | Spinarak    | Bug/Poison     |  40/ 60/ 40/ 40/ 40/ 30 | 250 | 255 |  54 | Fast
#168 | Ariados     | Bug/Poison     |  70/ 90/ 70/ 60/ 60/ 40 | 390 |  90 | 134 | Fast

--- COMMON JOHTO POKEMON ---
#010 | Caterpie    | Bug            |  45/ 30/ 35/ 20/ 20/ 45 | 195 | 255 |  53 | Medium Fast
#011 | Metapod     | Bug            |  50/ 20/ 55/ 25/ 25/ 30 | 205 | 120 |  72 | Medium Fast
#012 | Butterfree  | Bug/Flying     |  60/ 45/ 50/ 80/ 80/ 70 | 385 |  45 | 160 | Medium Fast
#013 | Weedle      | Bug/Poison     |  40/ 35/ 30/ 20/ 20/ 50 | 195 | 255 |  52 | Medium Fast
#014 | Kakuna      | Bug/Poison     |  45/ 25/ 50/ 25/ 25/ 35 | 205 | 120 |  71 | Medium Fast
#015 | Beedrill    | Bug/Poison     |  65/ 80/ 40/ 45/ 80/ 75 | 385 |  45 | 159 | Medium Fast
#023 | Ekans       | Poison         |  35/ 60/ 44/ 40/ 54/ 55 | 288 | 255 |  62 | Medium Fast
#024 | Arbok       | Poison         |  60/ 85/ 69/ 65/ 79/ 80 | 438 |  90 | 147 | Medium Fast
#025 | Pikachu     | Electric       |  35/ 55/ 30/ 50/ 40/ 90 | 300 | 190 |  82 | Medium Fast
#026 | Raichu      | Electric       |  60/ 90/ 55/ 90/ 80/100 | 475 |  75 | 122 | Medium Fast
#027 | Sandshrew   | Ground         |  50/ 75/ 85/ 20/ 30/ 40 | 300 | 255 |  93 | Medium Fast
#028 | Sandslash   | Ground         |  75/100/110/ 45/ 55/ 65 | 450 |  90 | 163 | Medium Fast
#029 | Nidoran-F   | Poison         |  55/ 47/ 52/ 40/ 40/ 41 | 275 | 235 |  59 | Medium Slow
#030 | Nidorina    | Poison         |  70/ 62/ 67/ 55/ 55/ 56 | 365 | 120 | 117 | Medium Slow
#031 | Nidoqueen   | Poison/Ground  |  90/ 82/ 87/ 75/ 85/ 76 | 495 |  45 | 194 | Medium Slow
#032 | Nidoran-M   | Poison         |  46/ 57/ 40/ 40/ 40/ 50 | 273 | 235 |  60 | Medium Slow
#033 | Nidorino    | Poison         |  61/ 72/ 57/ 55/ 55/ 65 | 365 | 120 | 118 | Medium Slow
#034 | Nidoking    | Poison/Ground  |  81/ 92/ 77/ 85/ 75/ 85 | 495 |  45 | 195 | Medium Slow
#035 | Clefairy    | Normal         |  70/ 45/ 48/ 60/ 65/ 35 | 323 | 150 |  68 | Fast
#036 | Clefable    | Normal         |  95/ 70/ 73/ 85/ 90/ 60 | 473 |  25 | 129 | Fast
#037 | Vulpix      | Fire           |  38/ 41/ 40/ 50/ 65/ 65 | 299 | 190 |  63 | Medium Fast
#038 | Ninetales   | Fire           |  73/ 76/ 75/ 81/100/100 | 505 |  75 | 178 | Medium Fast
#039 | Jigglypuff  | Normal         | 115/ 45/ 20/ 45/ 25/ 20 | 270 | 170 |  76 | Fast
#040 | Wigglytuff  | Normal         | 140/ 70/ 45/ 75/ 50/ 45 | 425 |  50 | 109 | Fast
#041 | Zubat       | Poison/Flying  |  40/ 45/ 35/ 30/ 40/ 55 | 245 | 255 |  54 | Medium Fast
#042 | Golbat      | Poison/Flying  |  75/ 80/ 70/ 65/ 75/ 90 | 455 |  90 | 171 | Medium Fast
#169 | Crobat      | Poison/Flying  |  85/ 90/ 80/ 70/ 80/130 | 535 |  90 | 204 | Medium Fast
#043 | Oddish      | Grass/Poison   |  45/ 50/ 55/ 75/ 65/ 30 | 320 | 255 |  78 | Medium Slow
#044 | Gloom       | Grass/Poison   |  60/ 65/ 70/ 85/ 75/ 40 | 395 | 120 | 132 | Medium Slow
#045 | Vileplume   | Grass/Poison   |  75/ 80/ 85/100/ 90/ 50 | 480 |  45 | 184 | Medium Slow
#182 | Bellossom   | Grass          |  75/ 80/ 85/ 90/100/ 50 | 480 |  45 | 184 | Medium Slow
#046 | Paras       | Bug/Grass      |  35/ 70/ 55/ 45/ 55/ 25 | 285 | 190 |  70 | Medium Fast
#047 | Parasect    | Bug/Grass      |  60/ 95/ 80/ 60/ 80/ 30 | 405 |  75 | 128 | Medium Fast
#048 | Venonat     | Bug/Poison     |  60/ 55/ 50/ 40/ 55/ 45 | 305 | 190 |  75 | Medium Fast
#049 | Venomoth    | Bug/Poison     |  70/ 65/ 60/ 90/ 75/ 90 | 450 |  75 | 138 | Medium Fast
#050 | Diglett     | Ground         |  10/ 55/ 25/ 35/ 45/ 95 | 265 | 255 |  81 | Medium Fast
#051 | Dugtrio     | Ground         |  35/ 80/ 50/ 50/ 70/120 | 405 |  50 | 153 | Medium Fast
#052 | Meowth      | Normal         |  40/ 45/ 35/ 40/ 40/ 90 | 290 | 255 |  69 | Medium Fast
#053 | Persian     | Normal         |  65/ 70/ 60/ 65/ 65/115 | 440 |  90 | 148 | Medium Fast
#054 | Psyduck     | Water          |  50/ 52/ 48/ 65/ 50/ 55 | 320 | 190 |  80 | Medium Fast
#055 | Golduck     | Water          |  80/ 82/ 78/ 95/ 80/ 85 | 500 |  75 | 174 | Medium Fast
#056 | Mankey      | Fighting       |  40/ 80/ 35/ 35/ 45/ 70 | 305 | 190 |  74 | Medium Fast
#057 | Primeape    | Fighting       |  65/105/ 60/ 60/ 70/ 95 | 455 |  75 | 149 | Medium Fast
#058 | Growlithe   | Fire           |  55/ 70/ 45/ 70/ 50/ 60 | 350 | 190 |  91 | Slow
#059 | Arcanine    | Fire           |  90/110/ 80/100/ 80/ 95 | 555 |  75 | 213 | Slow
#060 | Poliwag     | Water          |  40/ 50/ 40/ 40/ 40/ 90 | 300 | 255 |  77 | Medium Slow
#061 | Poliwhirl   | Water          |  65/ 65/ 65/ 50/ 50/ 90 | 385 | 120 | 131 | Medium Slow
#062 | Poliwrath   | Water/Fighting |  90/ 85/ 95/ 70/ 90/ 70 | 500 |  45 | 185 | Medium Slow
#186 | Politoed    | Water          |  90/ 75/ 75/ 90/100/ 70 | 500 |  45 | 185 | Medium Slow
#063 | Abra        | Psychic        |  25/ 20/ 15/105/ 55/ 90 | 310 | 200 |  75 | Medium Slow
#064 | Kadabra     | Psychic        |  40/ 35/ 30/120/ 70/105 | 400 | 100 | 145 | Medium Slow
#065 | Alakazam    | Psychic        |  55/ 50/ 45/135/ 85/120 | 490 |  50 | 186 | Medium Slow
#066 | Machop      | Fighting       |  70/ 80/ 50/ 35/ 35/ 35 | 305 | 180 |  75 | Medium Slow
#067 | Machoke     | Fighting       |  80/100/ 70/ 50/ 60/ 45 | 405 |  90 | 146 | Medium Slow
#068 | Machamp     | Fighting       |  90/130/ 80/ 65/ 85/ 55 | 505 |  45 | 193 | Medium Slow
#069 | Bellsprout  | Grass/Poison   |  50/ 75/ 35/ 70/ 30/ 40 | 300 | 255 |  84 | Medium Slow
#070 | Weepinbell  | Grass/Poison   |  65/ 90/ 50/ 85/ 45/ 55 | 390 | 120 | 151 | Medium Slow
#071 | Victreebel  | Grass/Poison   |  80/105/ 65/100/ 60/ 70 | 480 |  45 | 191 | Medium Slow
#072 | Tentacool   | Water/Poison   |  40/ 40/ 35/ 50/100/ 70 | 335 | 190 | 105 | Slow
#073 | Tentacruel  | Water/Poison   |  80/ 70/ 65/ 80/120/100 | 515 |  60 | 205 | Slow
#074 | Geodude     | Rock/Ground    |  40/ 80/100/ 30/ 30/ 20 | 300 | 255 |  73 | Medium Slow
#075 | Graveler    | Rock/Ground    |  55/ 95/115/ 45/ 45/ 35 | 390 | 120 | 134 | Medium Slow
#076 | Golem       | Rock/Ground    |  80/110/130/ 55/ 65/ 45 | 485 |  45 | 177 | Medium Slow
#077 | Ponyta      | Fire           |  50/ 85/ 55/ 65/ 65/ 90 | 410 | 190 | 152 | Medium Fast
#078 | Rapidash    | Fire           |  65/100/ 70/ 80/ 80/105 | 500 |  60 | 192 | Medium Fast
#079 | Slowpoke    | Water/Psychic  |  90/ 65/ 65/ 40/ 40/ 15 | 315 | 190 |  99 | Medium Fast
#080 | Slowbro     | Water/Psychic  |  95/ 75/110/100/ 80/ 30 | 490 |  75 | 164 | Medium Fast
#199 | Slowking    | Water/Psychic  |  95/ 75/ 80/100/110/ 30 | 490 |  70 | 164 | Medium Fast
#081 | Magnemite   | Electric/Steel |  25/ 35/ 70/ 95/ 55/ 45 | 325 | 190 |  89 | Medium Fast
#082 | Magneton    | Electric/Steel |  50/ 60/ 95/120/ 70/ 70 | 465 |  60 | 161 | Medium Fast
#083 | Farfetch'd  | Normal/Flying  |  52/ 65/ 55/ 58/ 62/ 60 | 352 |  45 |  94 | Medium Fast
#084 | Doduo       | Normal/Flying  |  35/ 85/ 45/ 35/ 35/ 75 | 310 | 190 |  96 | Medium Fast
#085 | Dodrio      | Normal/Flying  |  60/110/ 70/ 60/ 60/100 | 460 |  45 | 158 | Medium Fast
#086 | Seel        | Water          |  65/ 45/ 55/ 45/ 70/ 45 | 325 | 190 | 100 | Medium Fast
#087 | Dewgong     | Water/Ice      |  90/ 70/ 80/ 70/ 95/ 70 | 475 |  75 | 176 | Medium Fast
#088 | Grimer      | Poison         |  80/ 80/ 50/ 40/ 50/ 25 | 325 | 190 |  90 | Medium Fast
#089 | Muk         | Poison         | 105/105/ 75/ 65/100/ 50 | 500 |  75 | 157 | Medium Fast
#090 | Shellder    | Water          |  30/ 65/100/ 45/ 25/ 40 | 305 | 190 |  97 | Slow
#091 | Cloyster    | Water/Ice      |  50/ 95/180/ 85/ 45/ 70 | 525 |  60 | 203 | Slow
#092 | Gastly      | Ghost/Poison   |  30/ 35/ 30/100/ 35/ 80 | 310 | 190 |  95 | Medium Slow
#093 | Haunter     | Ghost/Poison   |  45/ 50/ 45/115/ 55/ 95 | 405 |  90 | 126 | Medium Slow
#094 | Gengar      | Ghost/Poison   |  60/ 65/ 60/130/ 75/110 | 500 |  45 | 190 | Medium Slow
#095 | Onix        | Rock/Ground    |  35/ 45/160/ 30/ 45/ 70 | 385 |  45 | 108 | Medium Fast
#208 | Steelix     | Steel/Ground   |  75/ 85/200/ 55/ 65/ 30 | 510 |  25 | 196 | Medium Fast
#096 | Drowzee     | Psychic        |  60/ 48/ 45/ 43/ 90/ 42 | 328 | 190 | 102 | Medium Fast
#097 | Hypno       | Psychic        |  85/ 73/ 70/ 73/115/ 67 | 483 |  75 | 165 | Medium Fast
#098 | Krabby      | Water          |  30/105/ 90/ 25/ 25/ 50 | 325 | 225 | 115 | Medium Fast
#099 | Kingler     | Water          |  55/130/115/ 50/ 50/ 75 | 475 |  60 | 206 | Medium Fast
#100 | Voltorb     | Electric       |  40/ 30/ 50/ 55/ 55/100 | 330 | 190 | 103 | Medium Fast
#101 | Electrode   | Electric       |  60/ 50/ 70/ 80/ 80/140 | 480 |  60 | 150 | Medium Fast
#102 | Exeggcute   | Grass/Psychic  |  60/ 40/ 80/ 60/ 45/ 40 | 325 |  90 |  98 | Slow
#103 | Exeggutor   | Grass/Psychic  |  95/ 95/ 85/125/ 65/ 55 | 520 |  45 | 212 | Slow
#104 | Cubone      | Ground         |  50/ 50/ 95/ 40/ 50/ 35 | 320 | 190 |  87 | Medium Fast
#105 | Marowak     | Ground         |  60/ 80/110/ 50/ 80/ 45 | 425 |  75 | 124 | Medium Fast
#106 | Hitmonlee   | Fighting       |  50/120/ 53/ 35/110/ 87 | 455 |  45 | 139 | Medium Fast
#107 | Hitmonchan  | Fighting       |  50/105/ 79/ 35/110/ 76 | 455 |  45 | 140 | Medium Fast
#237 | Hitmontop   | Fighting       |  50/ 95/ 95/ 35/110/ 70 | 455 |  45 | 138 | Medium Fast
#236 | Tyrogue     | Fighting       |  35/ 35/ 35/ 35/ 35/ 35 | 210 |  75 |  91 | Medium Fast
#108 | Lickitung   | Normal         |  90/ 55/ 75/ 60/ 75/ 30 | 385 |  45 | 127 | Medium Fast
#109 | Koffing     | Poison         |  40/ 65/ 95/ 60/ 45/ 35 | 340 | 190 | 114 | Medium Fast
#110 | Weezing     | Poison         |  65/ 90/120/ 85/ 70/ 60 | 490 |  60 | 173 | Medium Fast
#111 | Rhyhorn     | Ground/Rock    |  80/ 85/ 95/ 30/ 30/ 25 | 345 | 120 | 135 | Slow
#112 | Rhydon      | Ground/Rock    | 105/130/120/ 45/ 45/ 40 | 485 |  60 | 204 | Slow
#113 | Chansey     | Normal         | 250/  5/  5/ 35/105/ 50 | 450 |  30 | 255 | Fast
#242 | Blissey     | Normal         | 255/ 10/ 10/ 75/135/ 55 | 540 |  30 | 255 | Fast
#114 | Tangela     | Grass          |  65/ 55/115/100/ 40/ 60 | 435 |  45 | 166 | Medium Fast
#115 | Kangaskhan  | Normal         | 105/ 95/ 80/ 40/ 80/ 90 | 490 |  45 | 175 | Medium Fast
#116 | Horsea      | Water          |  30/ 40/ 70/ 70/ 25/ 60 | 295 | 225 |  83 | Medium Fast
#117 | Seadra      | Water          |  55/ 65/ 95/ 95/ 45/ 85 | 440 |  75 | 155 | Medium Fast
#230 | Kingdra     | Water/Dragon   |  75/ 95/ 95/ 95/ 95/ 85 | 540 |  45 | 207 | Medium Fast
#118 | Goldeen     | Water          |  45/ 67/ 60/ 35/ 50/ 63 | 320 | 225 | 111 | Medium Fast
#119 | Seaking     | Water          |  80/ 92/ 65/ 65/ 80/ 68 | 450 |  60 | 170 | Medium Fast
#120 | Staryu      | Water          |  30/ 45/ 55/ 70/ 55/ 85 | 340 | 225 | 106 | Slow
#121 | Starmie     | Water/Psychic  |  60/ 75/ 85/100/ 85/115 | 520 |  60 | 207 | Slow
#122 | Mr. Mime    | Psychic        |  40/ 45/ 65/100/120/ 90 | 460 |  45 | 136 | Medium Fast
#123 | Scyther     | Bug/Flying     |  70/110/ 80/ 55/ 80/105 | 500 |  45 | 187 | Medium Fast
#212 | Scizor      | Bug/Steel      |  70/130/100/ 55/ 80/ 65 | 500 |  25 | 200 | Medium Fast
#124 | Jynx        | Ice/Psychic    |  65/ 50/ 35/115/ 95/ 95 | 455 |  45 | 137 | Medium Fast
#125 | Electabuzz  | Electric       |  65/ 83/ 57/ 95/ 85/105 | 490 |  45 | 156 | Medium Fast
#126 | Magmar      | Fire           |  65/ 95/ 57/100/ 85/ 93 | 495 |  45 | 167 | Medium Fast
#127 | Pinsir      | Bug            |  65/125/100/ 55/ 70/ 85 | 500 |  45 | 200 | Slow
#128 | Tauros      | Normal         |  75/100/ 95/ 40/ 70/110 | 490 |  45 | 211 | Slow
#129 | Magikarp    | Water          |  20/ 10/ 55/ 15/ 20/ 80 | 200 | 255 |  20 | Slow
#130 | Gyarados    | Water/Flying   |  95/125/ 79/ 60/100/ 81 | 540 |  45 | 214 | Slow
#131 | Lapras      | Water/Ice      | 130/ 85/ 80/ 85/ 95/ 60 | 535 |  45 | 219 | Slow
#132 | Ditto       | Normal         |  48/ 48/ 48/ 48/ 48/ 48 | 288 |  35 |  61 | Medium Fast
#133 | Eevee       | Normal         |  55/ 55/ 50/ 45/ 65/ 55 | 325 |  45 |  92 | Medium Fast
#134 | Vaporeon    | Water          | 130/ 65/ 60/110/ 95/ 65 | 525 |  45 | 196 | Medium Fast
#135 | Jolteon     | Electric       |  65/ 65/ 60/110/ 95/130 | 525 |  45 | 197 | Medium Fast
#136 | Flareon     | Fire           |  65/130/ 60/ 95/110/ 65 | 525 |  45 | 198 | Medium Fast
#196 | Espeon      | Psychic        |  65/ 65/ 60/130/ 95/110 | 525 |  45 | 197 | Medium Fast
#197 | Umbreon     | Dark           |  95/ 65/110/ 60/130/ 65 | 525 |  45 | 197 | Medium Fast
#137 | Porygon     | Normal         |  65/ 60/ 70/ 85/ 75/ 40 | 395 |  45 | 130 | Medium Fast
#233 | Porygon2    | Normal         |  85/ 80/ 90/105/ 95/ 60 | 515 |  45 | 180 | Medium Fast
